frame_index,track_id,class_name,bbox0,bbox1,bbox2,bbox3
47,16,car,360,177,386,194
47,22,car,407,179,450,203
47,25,car,696,178,835,218
47,57,car,169,173,204,202
47,62,car,317,177,345,196
47,73,person,222,172,235,195
47,90,car,295,172,319,188
48,3,car,640,180,707,209
48,16,car,361,177,389,195
48,22,car,407,179,449,203
48,25,car,695,177,835,218
48,55,person,219,173,231,203
48,57,car,170,173,203,202
48,62,car,310,177,337,194
48,90,car,295,172,319,188
48,92,car,350,176,370,193
49,3,car,643,180,708,209
49,16,car,361,177,390,196
49,22,car,407,179,449,203
49,25,car,691,177,834,220
49,55,person,219,174,231,202
49,57,car,170,173,203,201
49,62,car,305,176,333,194
49,92,car,349,176,370,193
50,3,car,643,180,707,209
50,16,car,361,177,391,196
50,22,car,407,179,449,203
50,25,car,670,175,878,238
50,55,person,217,172,231,204
50,57,car,170,173,203,201
50,62,car,297,174,324,192
50,92,car,349,176,369,192
50,94,person,239,173,253,203
51,3,car,643,180,707,209
51,16,car,361,176,389,195
51,22,car,407,179,449,203
51,25,car,694,177,863,229
51,55,person,217,171,231,205
51,57,car,170,174,202,200
51,62,car,293,174,320,192
51,92,car,349,176,368,192
51,94,person,240,172,255,204
52,16,car,361,177,389,196
52,22,car,407,179,449,203
52,25,car,696,178,844,223
52,42,car,317,177,334,190
52,55,person,216,171,231,205
52,57,car,170,174,202,200
52,62,car,291,174,316,191
52,92,car,349,176,368,191
52,94,person,241,173,256,204
52,98,car,328,177,350,192
53,3,car,643,180,704,208
53,16,car,361,176,388,194
53,22,car,407,179,450,203
53,25,car,695,178,836,221
53,42,car,317,177,335,189
53,55,person,216,171,231,205
53,57,car,170,174,202,200
53,62,car,289,174,315,191
53,92,car,348,176,368,192
53,94,person,240,171,258,207
53,98,car,328,177,350,192
53,99,car,505,176,631,224
54,3,car,642,180,703,207
54,16,car,362,177,389,196
54,22,car,408,180,449,203
54,25,car,694,178,837,221
54,34,car,402,179,431,202
54,42,car,317,177,335,190
54,55,person,216,170,232,207
54,57,car,170,174,203,200
54,62,car,281,175,304,190
54,90,car,292,173,317,189
54,92,car,347,176,368,192
54,94,person,241,170,259,208
54,98,car,328,177,350,192
54,99,car,467,180,564,217
55,3,car,641,181,705,209
55,16,car,362,177,390,196
55,22,car,409,180,450,202
55,34,car,404,180,432,202
55,42,car,317,177,335,190
55,55,person,216,169,233,207
55,57,car,170,174,203,200
55,62,car,277,175,300,189
55,90,car,293,173,317,189
55,92,car,348,176,368,192
55,94,person,242,169,262,209
55,98,car,328,177,350,192
55,99,car,439,181,525,214
56,3,car,640,181,705,209
56,11,car,432,175,484,215
56,16,car,362,177,390,197
56,22,car,410,180,450,202
56,34,car,406,181,434,202
56,42,car,317,177,335,190
56,55,person,217,169,234,208
56,56,car,708,178,789,219
56,57,car,170,174,203,200
56,62,car,275,174,296,189
56,90,car,294,173,318,188
56,92,car,348,176,368,192
56,94,person,244,169,263,210
56,98,car,328,177,350,192
56,99,car,411,183,483,210
57,3,car,639,180,707,209
